                                                                                                                                    Expenditure Profile  2026-2027                                                                                                                            ,,,,,,,,,,,,,,1,
STATEMENT 4A,,,,,,,,,,,,,,,
CENTRALLY SPONSORED SCHEMES,,,,,,,,,,,,,,,
(In ₹ Crores),,,,,,,,,,,,,,,
,,,Actuals 2024-2025,,,Budget Estimates 2025-2026,,,Revised Estimates 2025-2026,,,Budget Estimates 2026-2027,,,
MINISTRY/DEPARTMENT,,,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,Total,Revenue,Capital,,Total
    ,33,Border Area Development Program,86.41,...,86.41,98.19,...,98.19,20,... ,20,0.06,...,,0.06
    ,34,Scheme for Safety of Women ( Safe City projects),78.61,...,78.61,215.34,...,215.34,133.35,... ,133.35,125,...,,125
    ,35,Vibrant Villages Programme,205.83,...,205.83,1056.4,...,1056.4,445.83,... ,445.83,350,...,,350
DemandNo. 60,,,16059.34,...,16059.34,53604,...,53604,18949.4,0.6,18950,44160.96,0.6,,44161.56
Ministry of Housing and Urban Affairs,,,,,,,,,,,,,,,
    ,36,PMAY-Urban,5815.43,...,5815.43,19794,...,19794,7499.4,0.6,7500,18624.45,0.6,,18625.05
    ,37,Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0),50,...,50,3500,...,3500,300,... ,300,3000,...,,3000
    ,38,Scheme for Industrial Housing,...,...,...,2500,...,2500,100,... ,100,400,...,,400
    ,39,Deendayal Antyodaya Yojana-National Urban Livelihood Mission (DAY-NULM),29.03,...,29.03,...,...,...,...,... ,...,...,...,,...
    ,40,Deendayal Jan Aajeevika Yojana- Shehari -DJAY(S),61.61,...,61.61,...,...,...,200,... ,200,536.51,...,,536.51
    ,41,AMRUT (Atal Mission for Rejuvenation and Urban Transformation),5513.16,...,5513.16,10000,...,10000,7500,... ,7500,8000,...,,8000
    ,42,Smart Cities Mission,2125.62,...,2125.62,...,...,...,...,... ,...,...,...,,...
    ,43,"City Investment to Innovate, Integrate and Sustain 2.0 (CITIIS 2.0)",94.25,...,94.25,250,...,250,50,... ,50,300,...,,300
    ,44,National Urban Digital Mission (NUDM),...,...,...,1250,...,1250,...,... ,...,300,...,,300
    ,45,Swachh Bharat Mission (SBM) - Urban,1893.22,...,1893.22,5000,...,5000,2000,... ,2000,2500,...,,2500
    ,46,PM-eBus Sewa Scheme,477.02,...,477.02,1310,...,1310,300,... ,300,500,...,,500
    ,47,Urban Challenge Fund,...,...,...,10000,...,10000,1000,... ,1000,10000,...,,10000
DemandNo. 62,,,15004.97,0.6,15005.57,17642.06,1.88,17643.94,12739.22,6.94,12746.16,13784.66,5.8,,13790.46
"Department of Water Resources, River Development and Ganga Rejuvenation",,,,,,,,,,,,,,,
    ,48,Pradhan Mantri Krishi Sinchai Yojna,6497.56,...,6497.56,8259.85,...,8259.85,6371.6,... ,6371.6,6587,...,,6587
    ,49,Flood Management and Border Areas Programme(FMBAP),386.92,0.6,387.52,448.12,1.88,450,444.72,3.74,448.46,795.26,1.74,,797
    ,50,Irrigation Census,18.9,...,18.9,40,...,40,35,... ,35,80,...,,80
    ,51,National River Conservation Plan -Other Basins,589.19,...,589.19,558.09,...,558.09,515.61,... ,515.61,550,...,,550
    ,52,Interlinking of Rivers,2000,...,2000,2400,...,2400,1808.29,... ,1808.29,1906.07,...,,1906.07
