Ministry,Scheme,Actuals_2024_2025,Budget_Estimates_2025_2026,Revised_Estimates_2025_2026,Budget_Estimates_2026_2027
Ministry of Panchayati Raj,Rashtriya Gram Swaraj Abhiyan (RGSA),764.12,1063.67,850.0,1142.31
Department of Rural Development,National Social Assistance Progamme,9652.01,9652.0,9197.1,9671.0
Department of Rural Development,Viksit Bharat-Guarantee for Rozgar and Ajeevika Mission (Gramin)-VB-G RAM G Scheme,0.0,0.0,0.0,95692.31
Department of Rural Development,MGNREGA-Programme Component,85834.4,86000.0,88000.0,30000.0
Department of Rural Development,Pradhan Mantri Gram Sadak Yojna,17870.92,19000.0,11000.0,19000.0
Department of Rural Development,Deendayal Antyodaya Yojana-National Rural Livelihoods Mission (DAY-NRLM),14705.3,19005.0,16000.0,19200.0
Department of Rural Development,Pradhan Mantri Awas Yojna (PMAY)- Rural,32326.57,54832.0,32500.01,54916.7
Department of Land Resources,Watershed Development Component-Pradhan Mantri Krishi Sinchai Yojna,2491.37,2505.0,1500.0,2500.0
Ministry of Skill Development and Entrepreneurship,Skill Acquisition and Knowledge Awareness for Livelihood Promotion (SANKALP)-EAP,108.08,0.0,0.0,0.0
Ministry of Skill Development and Entrepreneurship,Skill Strengthening for Industrial Value Enhancements (STRIVE)-EAP,5.07,0.0,0.0,0.0
Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Skilling and Employability Transformation through Upgraded ITIs (PM SETU),0.0,0.0,0.0,6140.5
Ministry of Skill Development and Entrepreneurship,Strengthening of Infrastructure for Institutional Training,11.4,49.9,11.0,0.0
Ministry of Skill Development and Entrepreneurship,New ITI Upgradation Scheme,0.01,3000.0,356.0,0.0
Department of Social Justice and Empowerment,Post Matric Scholarship for SCs,5581.49,6360.0,6000.0,6360.0
Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs and Others,461.66,577.96,577.96,577.96
Department of Social Justice and Empowerment,Pradhan Mantri Anusuchit Jaati Abhyuday Yojana (PM AJAY),736.28,2140.0,1250.0,2140.0
Department of Social Justice and Empowerment,"Strengthening of Machinery for Enforcement of Protection of Civil Rights Act, 1995 and Prevention of Atrocities Act, 1989",495.19,463.0,468.0,550.0
Department of Social Justice and Empowerment,"PM Young Achievers Scholarship Award Scheme for Vibrant India (PM YASASVI) for OBCs, EBCs and DNTs",1333.3,2190.0,1500.0,2320.0
Department of Social Justice and Empowerment,Atal Vayo Abhyuday Yojana (AVYAY),146.13,263.73,230.0,355.0
Department of Social Justice and Empowerment,National Action Plan for Drug Demand Reduction (NAPDDR),268.32,333.0,420.0,333.0
Ministry of Tourism,Safe Tourist Destination for Women,5.27,0.01,0.0,0.01
Ministry of Tribal Affairs,Programme for Development of Scheduled Tribes (PM Vanbandhu Kalyan Yojna),3603.5,5582.45,4023.34,5700.01
Ministry of Women and Child Development,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)",21014.02,21960.0,20949.47,23100.0
Ministry of Women and Child Development,Mission VATSALYA (Child Protection Services and Child Welfare Services),1405.53,1500.0,1100.0,1550.0
Ministry of Women and Child Development,Mission Shakti (Mission for Protection and Empowerment for Women),1834.75,3150.0,2000.0,3605.0
Others,Others (including amount Met from & Transfer to various funds),15499.41,-1649.07,29466.65,-35445.0
